City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,299.33,84,75,7.2,US,1675632471
1,ushuaia,-54.8,-68.3,281.94,70,40,12.35,AR,1675632723
2,bluff,-46.6,168.3333,288.1,85,57,11.03,NZ,1675632736
3,requena,39.4883,-1.1004,276.77,73,0,0.9,ES,1675632738
4,qaanaaq,77.484,-69.3632,254.69,56,4,3.41,GL,1675632739
5,nanortalik,60.1432,-45.2371,266.11,89,100,9.99,GL,1675632488
6,amberley,39.2048,-84.428,284.23,56,100,4.63,US,1675632742
7,shihezi,44.3,86.0333,266.27,95,100,1.61,CN,1675632745
8,adrar,20.5022,-10.0711,288.85,27,59,4.71,MR,1675632751
9,castro,-24.7911,-50.0119,293.14,75,51,2.53,BR,1675632752
10,vaini,-21.2,-175.2,299.24,83,75,1.03,TO,1675632462
11,ribeira grande,38.5167,-28.7,289.69,88,75,5.36,PT,1675632752
12,waldshut-tiengen,47.6232,8.2172,278.29,98,100,1.95,DE,1675632753
13,apatin,45.6711,18.9847,272.13,56,34,4.28,RS,1675632753
14,labuhan,-6.8844,112.2051,298.61,84,100,2.2,ID,1675632754
15,bandarbeyla,9.4942,50.8122,296.91,75,83,6.9,SO,1675632754
16,koutsouras,35.0339,25.9469,281.54,76,85,18.16,GR,1675632755
17,thinadhoo,0.5333,72.9333,300.1,69,100,3.24,MV,1675632755
18,barranca,-10.75,-77.7667,297.06,71,30,2.97,PE,1675632755
19,nishihara,26.1842,127.7558,291.75,97,100,5.66,JP,1675632756
20,busselton,-33.65,115.3333,291.83,82,31,4.51,AU,1675632757
21,butaritari,3.0707,172.7902,299.88,84,100,8.13,KI,1675632757
22,quatre cocos,-20.2078,57.7625,299.87,81,55,5.02,MU,1675632757
23,avarua,-21.2078,-159.775,301.18,83,75,6.69,CK,1675632758
24,dikson,73.5069,80.5464,253.69,97,100,0.73,RU,1675632758
25,puerto ayora,-0.7393,-90.3518,303.13,89,30,3.13,EC,1675632759
26,udachnyy,66.4167,112.4,235.44,99,97,0.81,RU,1675632759
27,isangel,-19.55,169.2667,301.78,73,98,2.58,VU,1675632468
28,berlevag,70.8578,29.0864,271.15,80,75,6.69,NO,1675632760
29,tashla,51.7716,52.7427,255.56,95,81,1.31,RU,1675632495
30,port alfred,-33.5906,26.891,294.92,95,44,0.89,ZA,1675632760
31,havelock,34.8791,-76.9013,290.15,76,100,2.06,US,1675632761
32,lebu,-37.6167,-73.65,290.92,82,1,8.84,CL,1675632761
33,tuatapere,-46.1333,167.6833,287.59,91,89,5.76,NZ,1675632762
34,hasaki,35.7333,140.8333,273.37,78,1,2.57,JP,1675632762
35,maningrida,-12.0667,134.2667,297.69,78,100,2.08,AU,1675632762
36,santa cruz,-17.8,-63.1667,303.85,58,20,2.06,BO,1675632559
37,jamestown,42.097,-79.2353,279.95,52,100,6.69,US,1675632481
38,qui nhon,13.7667,109.2333,294.41,91,99,2.26,VN,1675632763
39,cabo san lucas,22.8909,-109.9124,300.71,40,0,4.12,MX,1675632520
40,victoria,22.2855,114.1577,293.12,88,100,2.24,HK,1675632240
41,mount gambier,-37.8333,140.7667,288.59,70,28,1.96,AU,1675632764
42,chokurdakh,70.6333,147.9167,232.59,100,69,0.68,RU,1675632764
43,punta arenas,-53.15,-70.9167,286.21,41,0,12.86,CL,1675632582
44,mataura,-46.1927,168.8643,288.98,82,88,5.1,NZ,1675632765
45,yairipok,24.6667,94.0667,280.19,70,8,0.61,IN,1675632766
46,rikitea,-23.1203,-134.9692,299.29,74,4,6.83,PF,1675632766
47,okhotsk,59.3833,143.3,247.09,82,97,4.91,RU,1675632591
48,najran,17.4924,44.1277,290.51,34,100,0.68,SA,1675632767
49,kalianget,-7.05,113.9333,298.85,86,100,4.76,ID,1675632768
50,yellowknife,62.456,-114.3525,251.79,77,100,4.12,CA,1675632496
51,hilo,19.7297,-155.09,298.86,84,100,2.57,US,1675632768
52,bengkulu,-3.8004,102.2655,296.4,87,99,2.81,ID,1675632769
53,chuy,-33.6971,-53.4616,294.75,70,0,4.34,UY,1675632769
54,konya,38.1667,32.5,269.86,98,100,4.73,TR,1675632770
55,albany,42.6001,-73.9662,279.67,54,96,1.98,US,1675632769
56,souillac,-20.5167,57.5167,299.36,83,40,2.06,MU,1675632770
57,arraial do cabo,-22.9661,-42.0278,301.07,78,75,2.06,BR,1675632771
58,swan hill,-35.3378,143.5544,292.09,53,0,3.71,AU,1675632773
59,clyde river,70.4692,-68.5914,245.28,69,0,6.69,CA,1675632773
60,hermanus,-34.4187,19.2345,294.15,86,92,4.7,ZA,1675632773
61,port elizabeth,-33.918,25.5701,298.2,93,75,6.17,ZA,1675632774
62,codrington,-38.2667,141.9667,287.99,78,41,1.69,AU,1675632512
63,saint-augustin,51.226,-58.6502,256.77,91,100,0.42,CA,1675632775
64,nanzhou,29.3596,112.4024,280.0,80,99,0.96,CN,1675632775
65,kavieng,-2.5744,150.7967,300.93,76,95,2.37,PG,1675632775
66,high rock,26.6208,-78.2833,298.16,77,94,8.53,BS,1675632776
67,vrises,35.492,23.8899,281.03,80,100,11.43,GR,1675632776
68,guangyuan,32.442,105.823,281.36,75,100,1.31,CN,1675632777
69,avera,33.194,-82.5271,291.79,66,53,2.23,US,1675632777
70,bredasdorp,-34.5322,20.0403,294.92,77,100,3.6,ZA,1675632492
71,port hedland,-20.3167,118.5667,299.18,83,1,3.09,AU,1675632778
72,edinburg,55.9521,-3.1965,278.16,82,0,4.47,GB,1675632671
73,hami,42.8,93.45,271.64,40,1,1.7,CN,1675632778
74,ponta do sol,32.6667,-17.1,289.89,52,41,1.89,PT,1675632778
